"节点","url","Url正则","title","Title正则","keywords"
"订票首页","http://piao.huoche.com/","^/$","【火车票预订】列车时刻表_火车查询_票价_预订(预定)_火车网",,"火车票预订(预定),列车时刻表,火车时刻表,网上买火车票"
"城市到城市查询列表（默认四天后）","http://piao.huoche.com/beijing-shanghai/","^/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)\/$","【北京到上海火车票】预订(预定)_列车时刻查询_票价_火车网",,"北京到上海火车票,预订(预定),列车时刻表,火车时刻表"
"城市到城市查询列表次日","http://piao.huoche.com/beijing-shanghai/day2.html","^/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)\/day2.html$","【北京到上海火车票】次日车票预订(预定)_列车时刻查询_票价_火车网",,"北京到上海火车票,预订(预定),列车时刻表,火车时刻表"
"城市到城市查询列表第三天","http://piao.huoche.com/beijing-shanghai/day3.html","^/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)\/day3.html$","【北京到上海火车票】第三天车票预订(预定)_列车时刻查询_票价_火车网",,"北京到上海火车票,预订(预定),列车时刻表,火车时刻表"
"火车票预售期大全","http://piao.huoche.com/presell.php","^/press.php$","【火车票预售期】全国火车票预售期大全_查询_火车网",,"火车票预售期,提前多久购票"
"北京预售期","http://piao.huoche.com/presell/北京/","^/presell/([^\/]+)/$","【北京火车票预售期】最新火车票预售期_火车网",,"北京火车票预售期,提前多久购票"
"2012年全国各地代售点售票窗口火车票预售期  ","http://piao.huoche.com/presell2012.php","^/press2012.php$","【2012全国代售点预售期】最新火车票预售期_火车网",,"全国代售点预售期,提前多久购票"
"帮助中心   ","http://piao.huoche.com/help/","^/help/$","【帮助中心】火车网",,
"服务保证   ","http://piao.huoche.com/help/pay/    ","^/help/pay/$","【服务保证】火车网",,
