"节点","url","Url正则","title","Title正则","keywords"
"列车时刻表首页","http://lieche.huoche.com/","^/$","【列车时刻表】全国火车时刻表查询_预订_火车网",,"列车时刻表,列车时刻,火车时刻,火车时刻表,火车,火车查询"
"城市到城市时刻表列表","http://lieche.huoche.com/zz-beijing-shanghai.html","^/zz-([a-zA-Z0-9]+)-([a-zA-Z0-9]+).html$","【北京到上海列车时刻表】火车时刻表_票价查询_预订_火车网",,"北京到上海列车时刻表,火车时刻表,北京到上海火车,票价"
"c2001车次列表页","http://lieche.huoche.com/c2001.html","^/c(\d+).html$","【c2001次列车时刻表】火车时刻表_票价查询_预订_火车网",,"北京南到天津列车时刻表,火车时刻表,北京南到天津火车,票价"
"车站列表页","http://lieche.huoche.com/z24/","^/z(\d+)/$","【北京南站列车时刻表】火车时刻表_票价查询_预订_火车网",,"北京南站列车时刻表,火车时刻表,北京南站时刻表"
"车站列表页+翻页","http://lieche.huoche.com/z55/2/","^/z(\d+)/(\d+)/$","【北京南站列车时刻表】火车时刻表_票价查询_预订_100_火车网",,"北京南站列车时刻表,火车时刻表,北京南站时刻表"
