"节点","url","Url正则","title","Title正则","keywords"
"机票首页","http://jipiao.huoche.com.cn/","^/$","【机票】特价打折机票预订(预定)_机票价格查询_火车网",,"特价机票,打折机票,票价查询,价格,预订(预定)"
"城市到城市查询列表（第三天）","http://jipiao.huoche.com.cn/beijing-shanghai/","^/[a-z]+-[a-z]+/$","【北京到上海特价机票】打折机票_预订(预定)_价格_航班一览_火车网",,"北京到上海特价机票,预订(预定),打折机票,航班时刻表"
"城市到城市查询列表当天","http://jipiao.huoche.com.cn/beijing-shanghai/day1.html","^/[a-z]+-[a-z]+/day\d\.html$","【北京到上海特价机票】当天打折机票_预订(预定)_价格_航班一览_火车网",,"北京到上海特价机票,预订(预定),打折机票,航班时刻表"
"全国各城市特价机票索引","http://jipiao.huoche.com.cn/sitemap/","^/sitemap/$","【全国特价机票】全国打折机票_火车网",,"全国特价机票,打折机票,预订(预定)"
"北京出发特价机票","http://jipiao.huoche.com.cn/city/beijing.html","^/city/[a-z]+\.html$","【北京特价机票】打折机票_价格查询_火车网",,"北京特价机票,打折机票,票价查询,预订(预定)"
