"节点","url","Url正则","title","Title正则","keywords"
"旅游景点","http://trip.huoche.com.cn/","^/$","【旅游】旅游度假_国内游_出境游_旅游攻略_线路_火车网",,"国内游,出境游,周边游,旅游攻略,旅游资讯"
"洲区域旅游索引","http://trip.huoche.com.cn/asia.html","^/[a-z]+\.html$","【亚洲旅游】亚洲旅游景点大全_旅游线路推荐_火车网",,"非洲/亚洲/北美洲/南美洲/大洋洲/欧洲,旅游景点,线路"
"国家旅游索引","http://trip.huoche.com.cn/china.html","^/[a-z]+\.html$","【中国旅游】中国旅游景点大全_旅游线路推荐_火车网",,"中国旅游,国内旅游,旅游景点,线路,美食,住宿,攻略"
"城市旅游名区","http://trip.huoche.com.cn/shanghai.html","^/[a-z]+\.html$","【上海旅游】上海旅游指南_旅游景点_线路推荐_火车网",,"上海旅游,景点,线路,美食,住宿,攻略"
