"节点","url","Url正则","title","Title正则","keywords "
"铁路新闻首页","http://news.huoche.com.cn/","^/$","【铁路新闻】全国最新铁路新闻_铁路资讯_火车网",,"铁路新闻,铁路资讯,机票新闻"
"城市铁路新闻列表","http://news.huoche.com.cn/beijing/","^/[a-z]+/$","【北京铁路新闻】最新铁路资讯_火车网",,"北京铁路新闻,铁路资讯"
"新闻详细页","http://news.huoche.com.cn/128411.html","^/\d+\.html$","【进京列车100实名验票】铁路新闻_火车网",,"进京列车100实名验票,铁路新闻,铁路资讯"
"航空资讯","http://news.huoche.com.cn/air.html","^/air\.html$","【航空资讯】飞机票铁路资讯_新闻_火车网",,"航空资讯,航空新闻,飞机票资讯,铁路新闻"
"学生票铁路新闻","http://news.huoche.com.cn/student.html","^/student\.html$","【学生票铁路新闻】学生票铁路资讯_火车网",,"学生票铁路新闻,铁路资讯,机票新闻"
