"节点","url","Url正则","title","Title正则","keywords"
"旅游综合搜索-Pn","http://trip.elong.com/so/all/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/all/(%[0-9A-F]{2})+/p\d+$","【黑龙江旅游综合】黑龙江景点大全_游记攻略_旅游问答_100_艺龙旅行网",,"黑龙江,旅游景点,游记攻略,旅游问答"
"旅游门票搜索","http://trip.elong.com/so/menpiao/%E9%BB%91%E9%BE%99%E6%B1%9F/","^/so/menpiao/(%[0-9A-F]{2})+/$","【黑龙江门票】艺龙旅行网",,"黑龙江门票,黑龙江景点门票,旅游景点,游记攻略,旅游问答"
"旅游门票搜索-Pn","http://trip.elong.com/so/menpiao/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/menpiao/(%[0-9A-F]{2})+/p\d+$","【黑龙江门票】100_艺龙旅行网",,"黑龙江门票,黑龙江景点门票,旅游景点,游记攻略,旅游问答"
"旅游线路搜索","http://trip.elong.com/so/xianlu/%E9%BB%91%E9%BE%99%E6%B1%9F/","^/so/xianlu/(%[0-9A-F]{2})+/$","【黑龙江线路】艺龙旅行网",,"黑龙江旅游线路,旅游景点,游记攻略,旅游问答"
"旅游线路搜索-Pn","http://trip.elong.com/so/xianlu/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/xianlu/(%[0-9A-F]{2})+/p\d+$","【黑龙江线路】100_艺龙旅行网",,"黑龙江旅游线路,旅游景点,游记攻略,旅游问答"
"旅游交通搜索","http://trip.elong.com/so/jiaotong/%E9%BB%91%E9%BE%99%E6%B1%9F/","^/so/jiaotong/(%[0-9A-F]{2})+/$","【黑龙江交通】艺龙旅行网",,"黑龙江交通介绍,黑龙江景点交通介绍,出行指南"
"旅游交通搜索-Pn","http://trip.elong.com/so/jiaotong/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/jiaotong/(%[0-9A-F]{2})+/p\d+$","【黑龙江交通】100_艺龙旅行网",,"黑龙江交通介绍,黑龙江景点交通介绍,出行指南"
"旅游美食搜索","http://trip.elong.com/so/meishi/%E9%BB%91%E9%BE%99%E6%B1%9F/","^/so/meishi/(%[0-9A-F]{2})+/$","【黑龙江美食】艺龙旅行网",,"黑龙江美食简介,特色美食,特色小吃"
"旅游美食搜索-Pn","http://trip.elong.com/so/meishi/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/meishi/(%[0-9A-F]{2})+/p\d+$","【黑龙江美食】100_艺龙旅行网",,"黑龙江美食简介,特色美食,特色小吃"
"旅游购物搜索","http://trip.elong.com/so/gouwu/%E9%BB%91%E9%BE%99%E6%B1%9F/","^/so/gouwu/(%[0-9A-F]{2})+/$","【黑龙江购物】艺龙旅行网",,"黑龙江旅游购物,黑龙江特产"
"旅游购物搜索-Pn","http://trip.elong.com/so/gouwu/%E9%BB%91%E9%BE%99%E6%B1%9F/p2","^/so/gouwu/(%[0-9A-F]{2})+/p\d+$","【黑龙江购物】100_艺龙旅行网",,"黑龙江旅游购物,黑龙江特产"
