"节点","url","Url正则","title","Title正则","keywords"
"手机火车网","http://wap.huoche.com/","^/$","火车票预订(预定)_火车列车时刻表查询_票价_火车网手机版",,"火车票预订(预定),火车时刻表,列车时刻表,票价"
"城市到城市站站查询火车列表","http://wap.huoche.com/zz-shanghai-beijing.html","^/zz-([a-zA-Z0-9]+)-([a-zA-Z0-9]+).html$","【上海到北京火车时刻表】列车时刻表_票价查询_车次一览_火车网手机版",,"上海到北京火车时刻表,列车时刻表,预订(预定)"
"城市到城市返程站站查询火车列表","http://wap.huoche.com/zz-shanghai-beijing.html","^/zz-([a-zA-Z0-9]+)-([a-zA-Z0-9]+).html$","【上海到北京火车时刻表】往返列车时刻表_票价查询_车次一览_火车网手机版",,"上海到北京火车时刻表,往返,列车时刻表,预订(预定)"
"铁路资讯","http://wap.huoche.com/news/","^/news\/$","【铁路资讯】全国最新铁路资讯_火车网手机版",,"铁路资讯,铁路新闻"
"资讯详细页","http://wap.huoche.com/news38725.html","^/news(\d+).html$","【乘火车硬座看中国的变化】火车网手机版",,"乘火车硬座看中国的变化,铁路资讯,铁路新闻"
"车次查询","http://wap.huoche.com/checi/","^/checi\/$","【车次查询】列车时刻表查询_火车时刻_火车网手机版",,"车次查询,列车时刻表,火车时刻表,预订(预定)"
"车次列表页","http://wap.huoche.com/checi/T7.html ","^/checi\/([a-zA-Z0-9]+).html$","【T7次列车时刻表】火车时刻查询_火车网手机版",,"T7列车时刻表,火车时刻表,预订(预定)"
"城市车站时刻表","http://wap.huoche.com/zhan/beijing.html","^/zhan\/([a-zA-Z0-9]+).html$","【北京西站列车时刻表】火车时刻查询_车次一览_火车网手机版",,"北京西站,列车时刻表,火车时刻表,预订(预定)"
