"节点","url","Url正则","title","Title正则","keywords "
"长途汽车查询","http://changtu.huoche.com.cn/","^/$","【长途汽车】全国各省市_省份长途汽车查询_火车网",,"长途汽车,长途客运,长途汽车时刻表"
"城市目的地索引","http://changtu.huoche.com.cn/beijing/","^/[a-z]+/$","【北京长途汽车】长途汽车站_长途客运站查询_火车网",,"北京长途汽车,长途汽车站,客运站,长途汽车时刻表"
"城市到城市长途时刻表","http://changtu.huoche.com.cn/beijing-shanghai/","^/[a-z]+-[a-z]+/$","【北京到上海长途汽车时刻表】客运站一览_查询_火车网",,"北京到上海长途汽车时刻表,北京长途汽车,上海长途汽车,长途客运"
"详细页                   ","http://changtu.huoche.com.cn/cc/7030.html","^/cc/\d+\.html$","【北京的到上海长途汽车时刻表】价格_电话_客运站一览_火车网",,"北京到上海长途汽车时刻表,北京长途汽车站,上海长途汽车,电话,价格"
