主页,http://hotel.elong.net/,^/$,【酒店预订】宾馆预订_艺龙旅行网
城市酒店列表-P1,http://hotel.elong.net/beijing/,^/[a-z]+/$,【北京酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市酒店列表-Pn,http://hotel.elong.net/beijing/p2.html,^/[a-z]+/p\d+$,【北京酒店】宾馆预订_住宿价格查询_第2页_艺龙旅行网
城市行政区酒店列表-P1,http://hotel.elong.net/beijing/chaoyang/,^/[a-z]+/[a-z]+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区经济型酒店列表,http://hotel.elong.net/beijing/chaoyang/inn.html,^/[a-z]+/inn\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区三星级酒店列表,http://hotel.elong.net/beijing/chaoyang/star3.html,^/[a-z]+/star3/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区四星级酒店列表,http://hotel.elong.net/beijing/chaoyang/star4.html,^/[a-z]+/[a-z]+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区五星级酒店列表,http://hotel.elong.net/beijing/chaoyang/star5.html,^/[a-z]+/[a-z]+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区某品牌酒店列表,http://hotel.elong.net/beijing/chaoyang/brand1.html,^/[a-z]+/\.[a-z]+html/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区酒店列表-Pn,http://hotel.elong.net/beijing/chaoyang/p2.html,^/[a-z]+/[a-z]+/p\d+$,【北京朝阳区酒店】宾馆预订_住宿价格查询_2_艺龙旅行网
城市商圈酒店列表-P1,http://hotel.elong.net/beijing/center_123/,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈经济型酒店列表,http://hotel.elong.net/beijing/center_123/inn.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈三星级酒店列表,http://hotel.elong.net/beijing/center_123/star3.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈四星级酒店列表,http://hotel.elong.net/beijing/center_123/star4.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈五星级酒店列表,http://hotel.elong.net/beijing/center_123/star5.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈某品牌酒店列表,http://hotel.elong.net/beijing/center_123/brand1.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈酒店列表-Pn,http://hotel.elong.net/beijing/center_123/p2.html,^/[a-z]+/center_\d+/p\d+\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_2_艺龙旅行网
城市医院酒店列表-P1,http://hotel.elong.net/beijing/hospital_123/,^/[a-z]+/place/\d+/$,【北京 北京大学】附近酒店宾馆预订_住宿价格查询_艺龙旅行网
城市医院经济型酒店列表,http://hotel.elong.net/beijing/hospital_123/inn.html
城市医院三星级酒店列表,http://hotel.elong.net/beijing/hospital_123/star3.html,
城市医院四星级酒店列表,http://hotel.elong.net/beijing/hospital_123/star4.html,
城市医院五星级酒店列表,http://hotel.elong.net/beijing/hospital_123/star5.html,
城市医院某品牌酒店列表,http://hotel.elong.net/beijing/hospital_123/brand1.html
城市医院酒店列表-Pn,http://hotel.elong.net/beijing/hospital_123/p2.html,^/[a-z]+/place/\d+/p\d+\.html$,【北京 北京大学】附近酒店宾馆预订_住宿价格查询_2_艺龙旅行网
城市大学酒店列表-p1,http://hotel.elong.net/beijing/college_123/
城市大学经济型酒店列表,http://hotel.elong.net/beijing/college_123/inn.html
城市大学三星级酒店列表,http://hotel.elong.net/beijing/college_123/star3.html,
城市大学四星级酒店列表,http://hotel.elong.net/beijing/college_123/star4.html,
城市大学五星级酒店列表,http://hotel.elong.net/beijing/college_123/star5.html,
城市大学某品牌酒店列表,http://hotel.elong.net/beijing/college_123/brand1.html
城市大学酒店列表-Pn,http://hotel.elong.net/beijing/college_123/p2.html
城市景点酒店列表-p1,http://hotel.elong.net/beijing/scenic_123/
城市景点经济型酒店列表,http://hotel.elong.net/beijing/scenic_123/inn.html
城市景点三星级酒店列表,http://hotel.elong.net/beijing/scenic_123/star3.html,
城市景点四星级酒店列表,http://hotel.elong.net/beijing/scenic_123/star4.html,
城市景点五星级酒店列表,http://hotel.elong.net/beijing/scenic_123/star5.html,
城市景点某品牌酒店列表,http://hotel.elong.net/beijing/scenic_123/brand1.html
城市景点酒店列表-Pn,http://hotel.elong.net/beijing/scenic_123/p2.html
城市机场酒店列表-p1,http://hotel.elong.net/beijing/airport_123/
城市机场经济型酒店列表,http://hotel.elong.net/beijing/airport_123/inn.html
城市机场三星级酒店列表,http://hotel.elong.net/beijing/airport_123/star3.html,
城市机场四星级酒店列表,http://hotel.elong.net/beijing/airport_123/star4.html,
城市机场五星级酒店列表,http://hotel.elong.net/beijing/airport_123/star5.html,
城市机场某品牌酒店列表,http://hotel.elong.net/beijing/airport_123/brand1.html
城市机场酒店列表-Pn,http://hotel.elong.net/beijing/airport_123/p2.html
城市火车站酒店列表-p1,http://hotel.elong.net/beijing/train_123/
城市火车站经济型酒店列表,http://hotel.elong.net/beijing/train_123/inn.html
城市火车站三星级酒店列表,http://hotel.elong.net/beijing/train_123/star3.html,
城市火车站四星级酒店列表,http://hotel.elong.net/beijing/train_123/star4.html,
城市火车站五星级酒店列表,http://hotel.elong.net/beijing/train_123/star5.html,
城市火车站某品牌酒店列表,http://hotel.elong.net/beijing/train_123/brand1.html
城市火车站酒店列表-Pn,http://hotel.elong.net/beijing/train_123/p2.html
城市地铁线酒店列表-P1,http://hotel.elong.net/beijing/metroline_123/,
城市地铁线经济型酒店列表,http://hotel.elong.net/beijing/metroline_123/inn.html
城市地铁线三星级酒店列表,http://hotel.elong.net/beijing/metroline_123/star3.html,
城市地铁线四星级酒店列表,http://hotel.elong.net/beijing/metroline_123/star4.html,
城市地铁线五星级酒店列表,http://hotel.elong.net/beijing/metroline_123/star5.html,
城市地铁线某品牌酒店列表,http://hotel.elong.net/beijing/metroline_123/brand1.html,
