"节点","url","Url正则","title","Title正则","keywords"
"全景酒店商业区首页","http://tags.sunnychina.com/","^/$","【全国景区商业区酒店预订】酒店宾馆预订查询_住宿价格查询_阳光旅行网",,"全国景区商业区附近酒店预订(预定),附近,宾馆预订(预定)"
"城市地产小区附近酒店索引","http://tags.sunnychina.com/list_7_beijing/","^/list_\d+_[a-z]+/$","【北京地产小区】附近周边酒店宾馆预订_住宿价格查询_阳光旅行网",,"北京地产小区,附近,酒店,宾馆,预订(预定)"
"城市地产小区附近酒店-Pn","http://tags.sunnychina.com/list_7_beijing/p2.html","^/list_\d+_[a-z]+/p\d+\.html$","【北京地产小区】附近周边酒店宾馆预订_住宿价格查询_100_阳光旅行网",,"北京地产小区,附近,酒店,宾馆,预订(预定)"
"某地产小区附近酒店列表","http://tags.sunnychina.com/78251_7_beijing/","^/\d+_\d+_[a-z]+/$","【北京moho国际】附近周边酒店宾馆预订_住宿价格查询_阳光旅行网",,"北京moho国际,附近,酒店,宾馆,预订(预定)"
"某地产小区酒店列表-Pn","http://tags.sunnychina.com/78251_7_beijing/p2.html","^/\d+_\d+_[a-z]+/p\d+\.html$","【北京moho国际】附近周边酒店宾馆预订_住宿价格查询_100_阳光旅行网",,"北京moho国际,附近,酒店,宾馆,预订(预定)"
