旅游景点搜索+翻页,http://trip.big5.elong.com/so/dest/%E9%BB%91%E9%BE%99%E6%B1%9F/p2,^/so/dest/(%[0-9A-F]{2})+/p\d+$,
旅游图片搜索,http://trip.big5.elong.com/so/pic/%E9%BB%91%E9%BE%99%E6%B1%9F/,^/so/pic/(%[0-9A-F]{2})+/$,
旅游图片搜索+翻页,http://trip.big5.elong.com/so/pic/%E9%BB%91%E9%BE%99%E6%B1%9F/p2,^/so/pic/(%[0-9A-F]{2})+/p\d+$,
旅游攻略搜索,http://trip.big5.elong.com/so/article/%E9%BB%91%E9%BE%99%E6%B1%9F/,^/so/article/(%[0-9A-F]{2})+/$,
旅游攻略搜索+翻页,http://trip.big5.elong.com/so/article/%E9%BB%91%E9%BE%99%E6%B1%9F/p2,^/so/article/(%[0-9A-F]{2})+/p\d+$,
旅游问答搜索,http://trip.big5.elong.com/so/ask/%E9%BB%91%E9%BE%99%E6%B1%9F/,^/so/ask/[A-H0-9]+/$,
旅游问答搜索+翻页,http://trip.big5.elong.com/so/ask/%E9%BB%91%E9%BE%99%E6%B1%9F/p2,^/so/ask/[A-H0-9]+/p\d+$,
旅游资讯列表,http://trip.big5.elong.com/news/,^/news/$,
旅游资讯+翻页,http://trip.big5.elong.com/news/p3/,^/news/p\d+/$,
主题旅游资讯,http://trip.big5.elong.com/news/zt-1/,^/news/zt-\d+/$,
周边游旅游资讯,http://trip.big5.elong.com/news/zb-1/,^/news/zb-\d+/$,
国内旅游攻略列表,http://trip.big5.elong.com/news/internal/,^/news/internal/$,
国内旅游攻略列表+翻页,http://trip.big5.elong.com/internal/p3/,^/news/internal/p\d+/$,
出境旅游攻略列表,http://trip.big5.elong.com/external/,^/news/external/$,
出境旅游攻略列表+翻页,http://trip.big5.elong.com/news/external/p3/,^/news/external/p\d+/$,
旅游资讯+详细页,http://trip.big5.elong.com/news/n0123131.html,^/news/[a-z\d]+\.html$,
旅游专题,http://trip.big5.elong.com/event/,^/event/$
旅游专题,http://trip.big5.elong.com/event/all/,^/event/all/$,
旅游专题+分页,http://trip.big5.elong.com/event/p4/,^/event/all/p\d+/$,
旅游专题+详细页,http://trip.big5.elong.com/event/e00713d2.html,^/event/[a-z\d]+/$,
