"节点","url","Url正则","title","Title正则","keywords"
"房屋租赁","http://www.xici.net/t_%B7%BF%CE%DD%D7%E2%C1%DE.htm","^/t_%B7%BF%CE%DD%D7%E2%C1%DE\.htm$","【房屋租赁】论坛_社区_bbs_西祠都市_西祠胡同",,"房屋租赁,论坛,社区,bbs,房屋租赁图片,西祠房屋租赁"
"心理咨询","http://www.xici.net/t_%D0%C4%C0%ED%D7%C9%D1%AF.htm","^/t_%D0%C4%C0%ED%D7%C9%D1%AF\.htm$","【心理咨询】论坛_社区_bbs_西祠都市_西祠胡同",,"心理咨询,论坛,社区,bbs,心理咨询图片,西祠心理咨询"
"家电维修","http://www.xici.net/t_%BC%D2%B5%E7%CE%AC%D0%DE.htm","^/t_%BC%D2%B5%E7%CE%AC%D0%DE\.htm$","【家电维修】论坛_社区_bbs_西祠都市_西祠胡同",,"家电维修,论坛,社区,bbs,家电维修图片,西祠家电维修"
"法律服务","http://www.xici.net/t_%B7%A8%C2%C9%B7%FE%CE%F1.htm","^/t_%B7%A8%C2%C9%B7%FE%CE%F1\.htm$","【法律服务】论坛_社区_bbs_西祠都市_西祠胡同",,"法律服务,论坛,社区,bbs,法律服务图片,西祠法律服务"
"招聘","http://www.xici.net/t_%D5%D0%C6%B8.htm","^/t_%D5%D0%C6%B8\.htm$","【招聘】论坛_社区_bbs_西祠都市_西祠胡同",,"招聘,论坛,社区,bbs,招聘图片,西祠招聘"
"家政","http://www.xici.net/t_%BC%D2%D5%FE.htm","^/t_%BC%D2%D5%FE\.htm$","【家政】论坛_社区_bbs_西祠都市_西祠胡同",,"家政,论坛,社区,bbs,家政图片,西祠家政"
,,,,,
"购物首页","http://www.xici.net/shopping/","^/shopping/$","【购物论坛】社区_bbs_西祠购物_西祠胡同",,"购物,西祠购物,购物论坛,社区,bbs"
"购物热门论坛列表","http://www.xici.net/s/?t=1&k=%B9%BA%CE%EF&st=0","^/s/?t=1&k=%B9%BA%CE%EF&st=0$","【购物热门论坛】社区_bbs_西祠购物_西祠胡同",,"购物论坛,社区,bbs,西祠购物"
"帖子页","http://www.xici.net/b608317/",,"【购物狂】论坛_社区_南京时尚论坛_西祠购物_西祠胡同",,"购物狂,购物论坛,社区,bbs,西祠购物"
"帖子详情页","http://www.xici.net/d177986373.htm",,"【闲逛的收货】购物狂_论坛_社区_南京时尚论坛_西祠购物_西祠胡同",,"南京购物,购物狂,购物,西祠购物,社区,论坛,bbs"
"女装","http://www.xici.net/t_%C5%AE%D7%B0.htm","^/t_%C5%AE%D7%B0\.htm$","【女装】论坛_社区_bbs_西祠购物_西祠胡同",,"女装,论坛,社区,bbs,女装图片,西祠女装"
"化妆品","http://www.xici.net/t_%BB%AF%D7%B1%C6%B7.htm","^/t_%BB%AF%D7%B1%C6%B7\.htm$","【化妆品】论坛_社区_bbs_西祠购物_西祠胡同",,"化妆品,论坛,社区,bbs,化妆品图片,西祠化妆品"
"鞋","http://www.xici.net/t_%D0%AC.htm","^/t_%D0%AC\.htm$","【鞋】论坛_社区_bbs_西祠购物_西祠胡同",,"鞋,论坛,社区,bbs,鞋子图片,西祠鞋子"
"包","http://www.xici.net/t_%B0%FC.htm","^/t_%B0%FC\.htm$","【包】论坛_社区_bbs_西祠购物_西祠胡同",,"包,论坛,社区,bbs,包包图片,西祠包包"
"眼镜","http://www.xici.net/t_%D1%DB%BE%B5.htm","^/t_%D1%DB%BE%B5\.htm$","【眼镜】论坛_社区_bbs_西祠购物_西祠胡同",,"眼镜,论坛,社区,bbs,眼镜图片,西祠眼镜"
"饰品","http://www.xici.net/t_%CA%CE%C6%B7.htm","^/t_%CA%CE%C6%B7\.htm$","【饰品】论坛_社区_bbs_西祠购物_西祠胡同",,"饰品,论坛,社区,bbs,饰品图片,西祠饰品"
"珠宝","http://www.xici.net/t_%D6%E9%B1%A6.htm","^/t_%D6%E9%B1%A6\.htm$","【珠宝】论坛_社区_bbs_西祠购物_西祠胡同",,"珠宝,论坛,社区,bbs,珠宝图片,西祠珠宝"
"男装","http://www.xici.net/t_%C4%D0%D7%B0.htm","^/t_%C4%D0%D7%B0\.htm$","【男装】论坛_社区_bbs_西祠购物_西祠胡同",,"男装,论坛,社区,bbs,男装图片,西祠男装"
"家居","http://www.xici.net/t_%BC%D2%BE%D3.htm","^/t_%BC%D2%BE%D3\.htm$","【家居】论坛_社区_bbs_西祠购物_西祠胡同",,"家居,论坛,社区,bbs,家居图片,西祠家居"
"家电","http://www.xici.net/t_%BC%D2%B5%E7.htm","^/t_%BC%D2%B5%E7\.htm$","【家电】论坛_社区_bbs_西祠购物_西祠胡同",,"家电,论坛,社区,bbs,家电图片,西祠家电"
"食品","http://www.xici.net/t_%CA%B3%C6%B7.htm","^/t_%CA%B3%C6%B7\.htm$","【食品】论坛_社区_bbs_西祠购物_西祠胡同",,"食品,论坛,社区,bbs,食品图片,西祠食品"
"玩具","http://www.xici.net/t_%CD%E6%BE%DF.htm","^/t_%CD%E6%BE%DF\.htm$","【玩具】论坛_社区_bbs_西祠购物_西祠胡同",,"玩具,论坛,社区,bbs,玩具图片,西祠玩具"
"母婴","http://www.xici.net/t_%C4%B8%D3%A4.htm","^/t_%C4%B8%D3%A4\.htm$","【母婴】论坛_社区_bbs_西祠购物_西祠胡同",,"母婴,论坛,社区,bbs,母婴图片,西祠母婴"
"童装","http://www.xici.net/t_%CD%AF%D7%B0.htm","^/t_%CD%AF%D7%B0\.htm$","【童装】论坛_社区_bbs_西祠购物_西祠胡同",,"童装,社区,论坛,bbs,童装图片,西祠童装"
,,,,,
"家居首页","http://www.xici.net/owner/","^/owner/$","【家居论坛】社区_bbs_西祠家居_西祠胡同",,"家居论坛,社区,bbs,业主,家装,设计,建材,西祠家居"
