"节点","url","Url正则","title","Title正则","keywords"
"团购主页","http://tuan.sunnychina.com/","^/$","【酒店团购】全国精品酒店宾馆团购_阳光旅行网",,"酒店团购,宾馆团购,阳光团购,阳光酒店团购,低价酒店"
"城市列表页","http://tuan.sunnychina.com/beijing/","^/[a-z]+/$","【北京酒店团购】精品低价酒店宾馆团购_阳光旅行网",,"北京酒店团购,宾馆团购,低价酒店"
"城市+行政区","http://tuan.sunnychina.com/beijing/chaoyang/","^/[a-z]+/[a-z]+/$","【北京_朝阳区_酒店团购】精品低价酒店宾馆团购_阳光旅行网",,"北京,朝阳区,北京朝阳区酒店团购,宾馆团购,低价酒店"
"产品详细页","http://tuan.sunnychina.com/beijing/chaoyang/15662/1.html","^/[a-z]+/[a-z]+/\d+/\d+\.html$","【北京泉谷酒店】团购_价格_地址_阳光旅行网",,"北京,酒店,团购,北京泉谷酒店团购"
"城市+单一商圈","http://tuan.sunnychina.com/beijing/center-123.html","^/[a-z]+/center-\d+\.html$","【北京_西单】附近精品低价酒店宾馆团购_阳光旅行网",,"北京,西单,北京西单,附近,酒店,宾馆,团购,低价"
"城市+经济型酒店","http://tuan.sunnychina.com/beijing/inn.html","^/[a-z]+/inn\.html$","【北京_快捷酒店】经济型精品低价酒店团购_阳光旅行网",,"北京,快捷酒店,经济型,酒店,团购,低价"
"城市+三/四/五星级酒店","http://tuan.sunnychina.com/beijing/star-3.html","^/[a-z]+/star-\d+\.html$","【北京_三星级酒店】精品低价团购_阳光旅行网",,"北京,三星级酒店,团购,低价"
