"节点","url","Url正则","title","Title正则","keywords"
"全国公交线路查询   ","http://bus.huoche.com.cn/","^/$","【公交线路查询】全国各省市公交线路查询_公交车信息_火车网",,"公交车查询,公交车路线,公交查询,公交线路,公交时刻"
"城市公交车列表   ","http://bus.huoche.com.cn/beijing/","^/[a-z]+/$","【北京公交线路查询】公交车信息查询_火车网",,"北京公交车线路查询,北京公共汽车,公交线路,公交时刻,"
"北京324路电车公交线路","http://bus.huoche.com.cn/beijing/402.html","^/[a-z]+/[a-z\d]+\.html$","【北京324路电车】公交线路查询_公交车信息_火车网",,"北京324路电车,线路,公交时刻"
"公交站点查询","http://bus.huoche.com.cn/bs3003.html","^/[a-z\d]+\.html$","【西单公交站】火车网",,"西单公交站,公交车路线,公交查询"
